angle, string length, release angle
-1.6838899,1805.9302,NaN
-1.690173,1808.4752,NaN
-1.6964562,1808.9326,NaN
-1.7027394,1807.2794,NaN
-1.7090225,1805.6249,NaN
-1.7153057,1806.0718,NaN
-1.7215889,1808.6212,NaN
-1.727872,1806.9622,NaN
-1.7341552,1809.5122,NaN
-1.7404383,1807.8501,NaN
-1.7467215,1806.1864,NaN
-1.7530047,1806.6288,NaN
-1.7592878,1807.0693,NaN
-1.765571,1807.5063,NaN
-1.7718542,1807.9452,NaN
-1.7781373,1806.2737,NaN
-1.7844205,1808.821,NaN
-1.7907037,1807.1471,NaN
-1.7969868,1807.5834,NaN
-1.80327,1808.0194,NaN
-1.8095531,1808.4492,NaN
-1.8158363,1806.7697,NaN
-1.8221195,1807.1987,NaN
-1.8284026,1807.6277,NaN
-1.8346858,1808.0557,NaN
-1.840969,1808.4838,NaN
-1.8472521,1806.7961,NaN
-1.8535353,1809.3418,NaN
-1.8598185,1807.6516,NaN
-1.8661016,1808.0732,NaN
-1.8723848,1806.3801,NaN
-1.878668,1808.916,NaN
-1.8849511,1807.22,NaN
-1.8912343,1809.76,NaN
-1.8975174,1808.061,NaN
-1.9038006,1808.4775,NaN
-1.9100838,1806.776,NaN
-1.9163669,1809.3093,NaN
-1.9226501,1807.6055,NaN
-1.9289333,1810.1426,NaN
-1.9352164,1808.4357,NaN
-1.9414996,1808.8462,NaN
-1.9477828,1807.1365,NaN
-1.9540659,1809.668,NaN
-1.9603491,1807.9556,NaN
-1.9666322,1808.3618,NaN
-1.9729154,1806.6465,NaN
-1.9791986,1809.1726,NaN
-1.9854817,1807.4548,NaN
-1.9917649,1807.8552,NaN
-1.9980481,1806.1343,NaN
-2.0043314,1808.6567,NaN
-2.0106146,1806.9336,NaN
-2.016898,1809.4609,NaN
-2.0231812,1807.7346,NaN
-2.0294645,1808.1309,NaN
-2.0357478,1806.4023,NaN
-2.042031,1808.9263,NaN
-2.0483143,1807.1951,NaN
-2.0545976,1807.5869,NaN
-2.060881,1807.9752,NaN
-2.0671642,1806.2404,NaN
-2.0734475,1808.7587,NaN
-2.0797307,1809.1483,NaN
-2.086014,1807.4089,NaN
-2.0922973,1805.6687,NaN
-2.0985806,1808.1794,NaN
-2.104864,1806.4368,NaN
-2.1111472,1808.9509,NaN
-2.1174304,1807.2058,NaN
-2.1237137,1807.5864,NaN
-2.129997,1807.9658,NaN
-2.1362803,1806.2166,NaN
-2.1425636,1808.725,NaN
-2.1488469,1806.9727,NaN
-2.1551301,1807.3473,NaN
-2.1614134,1805.593,NaN
-2.1676967,1808.0977,NaN
-2.17398,1806.3403,NaN
-2.1802633,1806.7112,NaN
-2.1865466,1809.2131,NaN
-2.1928298,1807.4525,NaN
-2.1991131,1805.6908,NaN
-2.2053964,1803.9283,NaN
-2.2116797,1806.426,NaN
-2.217963,1804.6604,NaN
-2.2242463,1807.1567,NaN
-2.2305295,1807.5198,NaN
-2.2368128,1805.7507,NaN
-2.243096,1806.1104,NaN
-2.2493794,1804.3389,NaN
-2.2556627,1806.8286,NaN
-2.261946,1805.055,NaN
-2.2682292,1807.5452,NaN
-2.2745125,1805.7689,NaN
-2.2807958,1803.9917,NaN
-2.287079,1806.4763,NaN
-2.2933624,1804.6973,NaN
-2.2996457,1807.1816,NaN
-2.305929,1805.3997,NaN
-2.3122122,1803.617,NaN
-2.3184955,1806.0972,NaN
-2.3247788,1804.312,NaN
-2.331062,1806.7924,NaN
-2.3373454,1807.1382,NaN
-2.3436286,1805.3495,NaN
-2.349912,1805.6917,NaN
-2.3561952,1803.9008,NaN
-2.3624785,1804.2397,NaN
-2.3687618,1804.5786,NaN
-2.375045,1804.9186,NaN
-2.3813283,1805.2551,NaN
-2.3876116,1803.4589,NaN
-2.393895,1805.9259,NaN
-2.4001782,1804.127,NaN
-2.4064615,1802.3274,NaN
-2.4127448,1806.9248,NaN
-2.419028,1805.1232,NaN
-2.4253113,1803.3197,NaN
-2.4315946,1801.5164,NaN
-2.437878,1803.977,NaN
-2.4441612,1804.3025,NaN
-2.4504445,1802.4958,NaN
-2.4567277,1804.9514,NaN
-2.463011,1803.1423,NaN
-2.4692943,1801.332,NaN
-2.4755776,1803.7839,NaN
-2.4818609,1801.9717,NaN
-2.4881442,1804.4211,NaN
-2.4944274,1802.6072,NaN
-2.5007107,1800.792,NaN
-2.506994,1803.2383,NaN
-2.5132773,1801.4207,NaN
-2.5195606,1803.8643,NaN
-2.5258439,1802.0449,NaN
-2.5321271,1800.2247,NaN
-2.5384104,1802.6649,NaN
-2.5446937,1800.843,NaN
-2.550977,1803.2837,NaN
-2.5572603,1801.4597,NaN
-2.5635436,1799.6348,NaN
-2.5698268,1802.072,NaN
-2.5761101,1800.2451,NaN
-2.5823934,1800.5466,NaN
-2.5886767,1802.974,NaN
-2.59496,1801.1448,NaN
-2.6012433,1801.4421,NaN
-2.6075265,1799.6108,NaN
-2.6138098,1799.906,NaN
-2.620093,1800.2009,NaN
-2.6263764,1798.3676,NaN
-2.6326597,1800.7859,NaN
-2.638943,1798.9503,NaN
-2.6452262,1799.24,NaN
-2.6515095,1801.6538,NaN
-2.6577928,1799.8148,NaN
-2.664076,1797.9756,NaN
-2.6703594,1796.1362,NaN
-2.6766427,1798.5464,NaN
-2.682926,1800.9519,NaN
-2.6892092,1799.1097,NaN
-2.6954925,1797.2664,NaN
-2.7017758,1795.4222,NaN
-2.708059,1797.8247,NaN
-2.7143424,1800.2212,NaN
-2.7206256,1798.3743,NaN
-2.726909,1796.5266,NaN
-2.7331922,1794.6787,NaN
-2.7394755,1797.0742,NaN
-2.7457588,1799.4644,NaN
-2.752042,1797.6138,NaN
-2.7583253,1795.7623,NaN
-2.7646086,1793.9095,NaN
-2.770892,1796.2963,NaN
-2.7771752,1796.5623,NaN
-2.7834585,1794.7081,NaN
-2.7897418,1797.088,NaN
-2.796025,1795.2324,NaN
-2.8023083,1795.4929,NaN
-2.8085916,1793.6355,NaN
-2.814875,1793.8958,NaN
-2.8211582,1796.2664,NaN
-2.8274415,1794.4067,NaN
-2.8337247,1794.6619,NaN
-2.840008,1792.8009,NaN
-2.8462913,1795.1669,NaN
-2.8525746,1793.3044,NaN
-2.8588579,1791.4407,NaN
-2.8651412,1795.9131,NaN
-2.8714244,1794.0488,NaN
-2.8777077,1792.1841,NaN
-2.883991,1790.3181,NaN
-2.8902743,1792.6741,NaN
-2.8965576,1790.8069,NaN
-2.9028409,1791.05,NaN
-2.9091241,1793.3982,NaN
-2.9154074,1791.5292,NaN
-2.9216907,1791.7672,NaN
-2.927974,1789.8971,NaN
-2.9342573,1792.2356,NaN
-2.9405406,1790.3638,NaN
-2.9468238,1790.5972,NaN
-2.953107,1788.7244,NaN
-2.9593904,1788.9565,NaN
-2.9656737,1791.2903,NaN
-2.971957,1789.416,NaN
-2.9782403,1789.644,NaN
-2.9845235,1787.7683,NaN
-2.9908068,1790.0957,NaN
-2.99709,1788.2191,NaN
-3.0033734,1786.342,NaN
-3.0096567,1788.663,NaN
-3.01594,1786.7842,NaN
-3.0222232,1787.0049,NaN
-3.0285065,1787.2238,NaN
-3.0347898,1787.4385,NaN
-3.041073,1787.6553,NaN
-3.0473564,1785.7744,NaN
-3.0536397,1783.8928,NaN
-3.059923,1786.1963,NaN
-3.0662062,1784.3142,NaN
-3.0724895,1786.6187,NaN
-3.0787728,1784.7354,NaN
-3.085056,1784.9451,NaN
-3.0913393,1783.0614,NaN
-3.0976226,1785.356,NaN
-3.103906,1783.4712,NaN
-3.1101892,1785.7566,NaN
-3.1164725,1783.8705,NaN
-3.1227558,1784.0715,NaN
-3.129039,1782.185,NaN
-3.1353223,1782.3878,NaN
-3.1416056,1780.5005,NaN
-3.147889,1784.8595,NaN
-3.1541722,1782.9717,NaN
-3.1604555,1781.0835,NaN
-3.1667387,1779.1945,NaN
-3.173022,1783.5413,NaN
-3.1793053,1781.6519,NaN
-3.1855886,1781.8394,NaN
-3.191872,1779.9492,NaN
-3.1981552,1780.1405,NaN
-3.2044384,1778.2494,NaN
-3.2107217,1780.5076,NaN
-3.217005,1780.6833,NaN
-3.2232883,1778.7914,NaN
-3.2295716,1778.9712,NaN
-3.2358549,1779.1562,NaN
-3.2421381,1777.2632,NaN
-3.2484214,1777.4435,NaN
-3.2547047,1777.615,NaN
-3.260988,1777.7837,NaN
-3.2672713,1777.9567,NaN
-3.2735546,1776.0629,NaN
-3.2798378,1776.2339,NaN
-3.2861211,1776.4019,NaN
-3.2924044,1774.508,NaN
-3.2986877,1774.6807,NaN
-3.304971,1774.8508,NaN
-3.3112543,1775.0117,NaN
-3.3175375,1775.171,NaN
-3.3238208,1775.335,NaN
-3.330104,1773.4385,NaN
-3.3363874,1773.6006,NaN
-3.3426707,1773.761,NaN
-3.348954,1771.8638,NaN
-3.3552372,1772.0215,NaN
-3.3615205,1772.1781,NaN
-3.3678038,1772.3314,NaN
-3.374087,1772.4839,NaN
-3.3803704,1770.5864,NaN
-3.3866537,1770.7373,NaN
-3.392937,1770.8867,NaN
-3.3992202,1768.9888,NaN
-3.4055035,1771.1819,NaN
-3.4117868,1769.2844,NaN
-3.41807,1769.4308,NaN
-3.4243534,1769.5708,NaN
-3.4306366,1767.6724,NaN
-3.43692,1769.8519,NaN
-3.4432032,1767.9539,NaN
-3.4494865,1766.0553,NaN
-3.4557698,1768.2368,NaN
-3.462053,1766.3389,NaN
-3.4683363,1766.4756,NaN
-3.4746196,1768.6348,NaN
-3.480903,1766.7366,NaN
-3.4871862,1764.8386,NaN
-3.4934695,1764.9722,NaN
-3.4997528,1763.0737,NaN
-3.506036,1765.2363,NaN
-3.5123193,1765.3606,NaN
-3.5186026,1763.463,NaN
-3.524886,1761.5647,NaN
-3.5311692,1763.7087,NaN
-3.5374525,1763.825,NaN
-3.5437357,1761.9272,NaN
-3.550019,1762.0532,NaN
-3.5563023,1762.1733,NaN
-3.5625856,1762.2908,NaN
-3.5688689,1760.3936,NaN
-3.5751522,1758.4963,NaN
-3.5814354,1760.6267,NaN
-3.5877187,1760.737,NaN
-3.594002,1758.8405,NaN
-3.6002853,1758.9541,NaN
-3.6065686,1759.0712,NaN
-3.6128519,1759.177,NaN
-3.6191351,1759.2815,NaN
-3.6254184,1757.3849,NaN
-3.6317017,1755.4891,NaN
-3.637985,1757.6035,NaN
-3.6442683,1755.7083,NaN
-3.6505516,1755.8086,NaN
-3.6568348,1757.907,NaN
-3.6631181,1756.0131,NaN
-3.6694014,1754.1183,NaN
-3.6756847,1756.2053,NaN
-3.681968,1754.3103,NaN
-3.6882513,1752.4165,NaN
-3.6945345,1754.5072,NaN
-3.7008178,1752.6143,NaN
-3.707101,1752.7079,NaN
-3.7133844,1752.7964,NaN
-3.7196677,1750.9038,NaN
-3.725951,1752.9768,NaN
-3.7322342,1751.0848,NaN
-3.7385175,1751.1719,NaN
-3.7448008,1749.2811,NaN
-3.751084,1751.3444,NaN
-3.7573674,1749.4539,NaN
-3.7636507,1747.564,NaN
-3.769934,1749.6244,NaN
-3.7762172,1747.7354,NaN
-3.7825005,1747.8132,NaN
-3.7887838,1745.9247,NaN
-3.795067,1747.9729,NaN
-3.8013504,1746.085,NaN
-3.8076336,1746.1605,NaN
-3.813917,1746.2338,NaN
-3.8202002,1744.3475,NaN
-3.8264835,1746.3823,NaN
-3.8327668,1744.4968,NaN
-3.83905,1744.5682,NaN
-3.8453333,1742.6836,NaN
-3.8516166,1742.7527,NaN
-3.8579,1744.7747,NaN
-3.8641832,1742.8914,NaN
-3.8704665,1742.957,NaN
-3.8767498,1741.0754,NaN
-3.883033,1741.1401,NaN
-3.8893163,1743.1465,NaN
-3.8955996,1741.2654,NaN
-3.901883,1739.387,NaN
-3.9081662,1737.5076,NaN
-3.9144495,1739.5052,NaN
-3.9207327,1739.5647,NaN
-3.927016,1739.6223,NaN
-3.9332993,1737.7452,NaN
-3.9395826,1735.8696,NaN
-3.9458659,1737.8557,NaN
-3.9521492,1735.981,NaN
-3.9584324,1736.0337,NaN
-3.9647157,1736.0836,NaN
-3.970999,1734.2106,NaN
-3.9772823,1736.1846,NaN
-3.9835656,1734.313,NaN
-3.9898489,1734.3615,NaN
-3.9961321,1734.4077,NaN
-4.002415,1732.5378,NaN
-4.0086985,1734.4968,NaN
-4.0149817,1732.6292,NaN
-4.021265,1730.7617,NaN
-4.0275483,1732.7134,NaN
-4.0338316,1730.8467,NaN
-4.040115,1732.7932,NaN
-4.046398,1730.9294,NaN
-4.0526814,1729.0647,NaN
-4.0589647,1727.2024,NaN
-4.065248,1729.1421,NaN
-4.0715313,1729.1785,NaN
-4.0778146,1727.3177,NaN
-4.084098,1727.352,NaN
-4.090381,1725.4939,NaN
-4.0966644,1727.4194,NaN
-4.1029477,1725.5615,NaN
-4.109231,1723.706,NaN
-4.1155143,1725.6233,NaN
-4.1217976,1723.769,NaN
-4.128081,1725.68,NaN
-4.134364,1723.8274,NaN
-4.1406474,1721.9756,NaN
-4.1469307,1723.8815,NaN
-4.153214,1722.031,NaN
-4.1594973,1722.0565,NaN
-4.1657805,1720.2081,NaN
-4.172064,1720.2332,NaN
-4.178347,1722.1245,NaN
-4.1846304,1720.2793,NaN
-4.1909137,1720.2988,NaN
-4.197197,1718.4564,NaN
-4.2034802,1718.4761,NaN
-4.2097635,1716.636,NaN
-4.216047,1718.5127,NaN
-4.22233,1716.6741,NaN
-4.2286134,1714.8362,NaN
-4.2348967,1716.7075,NaN
-4.24118,1714.8723,NaN
-4.247463,1716.7339,NaN
-4.2537465,1714.9001,NaN
-4.26003,1713.0679,NaN
-4.266313,1714.9258,NaN
-4.2725964,1713.0957,NaN
-4.2788796,1713.1074,NaN
-4.285163,1711.279,NaN
-4.291446,1711.2908,NaN
-4.2977295,1709.4646,NaN
-4.304013,1711.3093,NaN
-4.310296,1711.3159,NaN
-4.3165793,1709.4939,NaN
-4.3228626,1709.502,NaN
-4.329146,1707.6836,NaN
-4.335429,1709.5114,NaN
-4.3417125,1707.6943,NaN
-4.3479958,1707.6982,NaN
-4.354279,1705.8845,NaN
-4.3605623,1705.8882,NaN
-4.3668456,1707.7041,NaN
-4.373129,1705.8938,NaN
-4.379412,1705.8938,NaN
-4.3856955,1704.0852,NaN
-4.3919787,1704.0858,NaN
-4.398262,1702.2802,NaN
-4.4045453,1704.0837,NaN
-4.4108286,1702.282,NaN
-4.417112,1700.4805,NaN
-4.423395,1700.4819,NaN
-4.4296784,1702.2743,NaN
-4.4359617,1700.4775,NaN
-4.442245,1698.6812,NaN
-4.4485283,1700.469,NaN
-4.4548116,1698.676,NaN
-4.461095,1700.4539,NaN
-4.467378,1698.6638,NaN
-4.4736614,1696.8745,NaN
-4.4799447,1695.0883,NaN
-4.486228,1698.6366,NaN
-4.4925113,1696.8525,NaN
-4.4987946,1695.07,NaN
-4.505078,1693.2881,NaN
-4.511361,1695.0544,NaN
-4.5176444,1693.2767,NaN
-4.5239277,1693.2688,NaN
-4.530211,1691.4937,NaN
-4.5364943,1693.2473,NaN
-4.5427775,1691.4758,NaN
-4.549061,1693.2202,NaN
-4.555344,1691.4512,NaN
-4.5616274,1689.6843,NaN
-4.5679107,1687.9192,NaN
-4.574194,1689.6633,NaN
-4.580477,1687.9019,NaN
-4.5867605,1689.6335,NaN
-4.593044,1687.875,NaN
-4.599327,1687.8617,NaN
-4.6056104,1686.1062,NaN
-4.6118937,1687.8285,NaN
-4.618177,1686.0757,NaN
-4.62446,1344.8822,NaN
-4.6307435,1344.8914,NaN
-4.637027,1344.9017,NaN
-4.64331,1344.9121,NaN
-4.6495934,1344.924,NaN
-4.6558766,1344.9363,NaN
-4.66216,1344.9496,NaN
-4.668443,1344.9636,NaN
-4.6747265,1344.9719,NaN
-4.68101,1344.9878,NaN
-4.687293,1345.0042,NaN
-4.6935763,1345.0287,NaN
-4.6998596,1345.0402,NaN
-4.706143,1345.0588,NaN
-4.712426,1345.0787,NaN
-4.7187095,1345.1066,NaN
-4.7249928,1345.1138,NaN
-4.731276,1345.1364,NaN
-4.7375593,1345.1732,NaN
-4.7438426,1345.1979,NaN
-4.750126,1345.2156,NaN
-4.756409,1345.2495,NaN
-4.7626925,1345.2715,NaN
-4.7689757,1345.3013,NaN
-4.775259,1345.3271,NaN
-4.7815423,1345.3601,NaN
-4.7878256,1345.3866,NaN
-4.794109,1345.4208,NaN
-4.800392,1345.4553,NaN
-4.8066754,1345.4888,NaN
-4.8129587,1345.5217,NaN
-4.819242,1345.5571,NaN
-4.8255253,1345.5918,NaN
-4.8318086,1345.6289,NaN
-4.838092,1345.6655,NaN
-4.844375,1345.7046,NaN
-4.8506584,1345.7466,NaN
-4.8569417,1345.7859,NaN
-4.863225,1345.8276,NaN
-4.8695083,1345.8691,NaN
-4.8757915,1345.9121,NaN
-4.882075,1345.9585,NaN
-4.888358,1346.0015,NaN
